ID,date,warehouse_ID,Latitude,Longitude,Product_Type,year,month,is_weekend,is_warehouse_closed,daily_dispatch_count,weekly_dispatch_count
0x33ef,2017-01-10,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,7.2,
0x271a,2017-01-11,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,6.4,
0x33f0,2017-01-11,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,6.9,
0x271b,2017-01-12,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,5.3,
0x33f1,2017-01-12,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,8.1,
0x271c,2017-01-13,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,5.8,
0x33f2,2017-01-13,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,8.1,
0x271d,2017-01-14,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,Yes,No,5.7,
0x33f3,2017-01-14,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,Yes,No,6.2,
0x271e,2017-01-15,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,Yes,No,4.6,37.50000000000001
0x33f4,2017-01-15,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,Yes,No,6.7,49.70000000000001
0x271f,2017-01-16,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,5.4,
0x33f5,2017-01-16,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,7.2,
0x2720,2017-01-17,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,5.2,
0x33f6,2017-01-17,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,7.2,
0x2721,2017-01-18,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,5.1,
0x33f7,2017-01-18,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,7.6,
0x2722,2017-01-19,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,5.1,
0x33f8,2017-01-19,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,7.6,
0x2723,2017-01-20,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,5.7,
0x33f9,2017-01-20,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,6.5,
0x2724,2017-01-21,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,Yes,No,4.1,
0x33fa,2017-01-21,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,Yes,No,5.9,
0x2725,2017-01-22,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,Yes,No,4.4,35.0
0x33fb,2017-01-22,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,Yes,No,6.3,48.3
0x2726,2017-01-23,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,5.0,
0x33fc,2017-01-23,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,7.3,
0x2727,2017-01-24,WH_0x3e9,,-72.79474599999999,Type_A,2017,January,No,No,5.6,
0x33fd,2017-01-24,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,7.6,
0x2728,2017-01-25,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,6.2,
0x33fe,2017-01-25,WH_0x3ea,38.749077,,Type_A,2017,January,No,No,7.3,
0x2729,2017-01-26,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,5.2,
0x33ff,2017-01-26,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,7.9,
0x272a,2017-01-27,WH_0x3e9,41.681471,,Type_A,2017,January,No,No,6.3,
0x3400,2017-01-27,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,8.5,
0x272b,2017-01-28,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,Yes,No,4.2,
0x3401,2017-01-28,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,,No,5.9,
0x272c,2017-01-29,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,Yes,No,5.4,37.9
0x3402,2017-01-29,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,Yes,No,7.5,52.0
0x272d,2017-01-30,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,4.8,
0x3403,2017-01-30,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,6.4,
0x272e,2017-01-31,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,January,No,No,5.6,
0x3404,2017-01-31,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,January,No,No,6.2,
0x272f,2017-02-01,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,6.4,
0x3405,2017-02-01,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,8.6,
0x2730,2017-02-02,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,5.1,
0x3406,2017-02-02,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,8.4,
0x2731,2017-02-03,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,5.5,
0x3407,2017-02-03,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,7.5,
0x2732,2017-02-04,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,Yes,No,5.7,
0x3408,2017-02-04,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,Yes,No,5.0,
0x2733,2017-02-05,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,Yes,No,4.1,37.2
0x3409,2017-02-05,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,Yes,No,6.8,48.9
0x2734,2017-02-06,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,6.2,
0x340a,2017-02-06,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,5.5,
0x2735,2017-02-07,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,6.7,
0x340b,2017-02-07,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,8.1,
0x2736,2017-02-08,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,5.2,
0x340c,2017-02-08,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,7.3,
0x2737,2017-02-09,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,6.6,
0x340d,2017-02-09,WH_0x3ea,,,Type_A,2017,February,No,No,8.1,
0x2738,2017-02-10,WH_0x3e9,,-72.79474599999999,Type_A,2017,February,No,No,5.5,
0x340e,2017-02-10,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,7.5,
0x2739,2017-02-11,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,Yes,No,4.1,
0x340f,2017-02-11,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,Yes,No,6.0,
0x273a,2017-02-12,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,Yes,No,5.4,39.7
0x3410,2017-02-12,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,Yes,No,6.7,49.2
0x273b,2017-02-13,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,6.1,
0x3411,2017-02-13,WH_0x3ea,,-105.18306000000001,Type_A,2017,February,No,,6.9,
0x273c,2017-02-14,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,5.0,
0x3412,2017-02-14,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,7.5,
0x273d,2017-02-15,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,6.5,
0x3413,2017-02-15,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,8.9,
0x273e,2017-02-16,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,5.3,
0x3414,2017-02-16,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,9.0,
0x273f,2017-02-17,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,5.9,
0x3415,2017-02-17,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,8.4,
0x2740,2017-02-18,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,Yes,No,5.1,
0x3416,2017-02-18,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,Yes,No,6.6,
0x2741,2017-02-19,WH_0x3e9,,-72.79474599999999,Type_A,2017,February,Yes,No,5.9,39.8
0x3417,2017-02-19,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,Yes,No,7.5,54.8
0x2742,2017-02-20,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,4.8,
0x3418,2017-02-20,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,6.5,
0x2743,2017-02-21,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,5.3,
0x3419,2017-02-21,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,6.3,
0x2744,2017-02-22,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,6.2,
0x341a,2017-02-22,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,8.0,
0x2745,2017-02-23,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,7.6,
0x341b,2017-02-23,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,8.0,
0x2746,2017-02-24,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,6.0,
0x341c,2017-02-24,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,9.2,
0x2747,2017-02-25,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,Yes,No,5.3,
0x341d,2017-02-25,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,Yes,No,5.6,
0x2748,2017-02-26,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,Yes,No,5.1,40.3
0x341e,2017-02-26,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,Yes,No,7.5,51.1
0x2749,2017-02-27,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,February,No,No,4.6,
0x341f,2017-02-27,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,7.9,
0x274a,2017-02-28,WH_0x3e9,41.681471,,Type_A,2017,February,No,No,5.7,
0x3420,2017-02-28,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,February,No,No,7.6,
0x274b,2017-03-01,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,6.5,
0x3421,2017-03-01,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,8.9,
0x274c,2017-03-02,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,8.3,
0x3422,2017-03-02,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,9.6,
0x274d,2017-03-03,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,7.8,
0x3423,2017-03-03,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,10.7,
0x274e,2017-03-04,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,Yes,No,6.1,
0x3424,2017-03-04,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,Yes,No,7.3,
0x274f,2017-03-05,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,Yes,No,5.9,44.9
0x3425,2017-03-05,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,Yes,No,7.9,59.9
0x2750,2017-03-06,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,6.2,
0x3426,2017-03-06,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,9.3,
0x2751,2017-03-07,WH_0x3e9,,-72.79474599999999,Type_A,2017,March,No,No,7.6,
0x3427,2017-03-07,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,8.6,
0x2752,2017-03-08,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,8.2,
0x3428,2017-03-08,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,8.1,
0x2753,2017-03-09,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,7.0,
0x3429,2017-03-09,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,9.2,
0x2754,2017-03-10,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,7.4,
0x342a,2017-03-10,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,10.0,
0x2755,2017-03-11,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,Yes,No,5.1,
0x342b,2017-03-11,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,Yes,No,7.7,
0x2756,2017-03-12,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,Yes,No,5.9,47.4
0x342c,2017-03-12,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,Yes,No,9.0,61.90000000000001
0x2757,2017-03-13,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,5.7,
0x342d,2017-03-13,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,7.4,
0x2758,2017-03-14,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,6.2,
0x342e,2017-03-14,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,7.8,
0x2759,2017-03-15,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,5.2,
0x342f,2017-03-15,WH_0x3ea,,-105.18306000000001,Type_A,2017,March,No,No,8.5,
0x275a,2017-03-16,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,6.4,
0x3430,2017-03-16,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,8.9,
0x275b,2017-03-17,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,9.9,
0x3431,2017-03-17,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,9.6,
0x275c,2017-03-18,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,Yes,No,5.5,
0x3432,2017-03-18,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,Yes,No,7.4,
0x275d,2017-03-19,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,Yes,No,6.9,45.8
0x3433,2017-03-19,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,,No,7.7,57.3
0x275e,2017-03-20,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,6.1,
0x3434,2017-03-20,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,7.0,
0x275f,2017-03-21,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,6.8,
0x3435,2017-03-21,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,9.2,
0x2760,2017-03-22,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,6.7,
0x3436,2017-03-22,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,10.6,
0x2761,2017-03-23,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,7.4,
0x3437,2017-03-23,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,10.5,
0x2762,2017-03-24,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,7.7,
0x3438,2017-03-24,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,9.9,
0x2763,2017-03-25,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,Yes,No,4.9,
0x3439,2017-03-25,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,Yes,No,8.7,
0x2764,2017-03-26,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,Yes,No,6.4,46.0
0x343a,2017-03-26,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,Yes,No,8.2,64.1
0x2765,2017-03-27,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,6.1,
0x343b,2017-03-27,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,8.6,
0x2766,2017-03-28,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,6.4,
0x343c,2017-03-28,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,8.4,
0x2767,2017-03-29,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,7.6,
0x343d,2017-03-29,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,9.6,
0x2768,2017-03-30,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,7.3,
0x343e,2017-03-30,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,10.3,
0x2769,2017-03-31,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,March,No,No,8.1,
0x343f,2017-03-31,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,March,No,No,9.6,
0x276a,2017-04-01,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,Yes,No,6.4,
0x3440,2017-04-01,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,Yes,No,8.5,
0x276b,2017-04-02,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,Yes,No,6.9,48.8
0x3441,2017-04-02,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,Yes,No,8.6,63.60000000000001
0x276c,2017-04-03,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,No,No,6.4,
0x3442,2017-04-03,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,9.0,
0x276d,2017-04-04,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,No,No,8.0,
0x3443,2017-04-04,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,9.7,
0x276e,2017-04-05,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,No,No,8.2,
0x3444,2017-04-05,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,9.5,
0x276f,2017-04-06,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,No,No,8.7,
0x3445,2017-04-06,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,9.5,
0x2770,2017-04-07,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,,No,8.5,
0x3446,2017-04-07,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,10.8,
0x2771,2017-04-08,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,Yes,No,5.3,
0x3447,2017-04-08,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,Yes,No,8.5,
0x2772,2017-04-09,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,Yes,No,6.8,51.89999999999999
0x3448,2017-04-09,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,Yes,,10.0,67.0
0x2773,2017-04-10,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,No,No,6.6,
0x3449,2017-04-10,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,7.9,
0x2774,2017-04-11,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,No,No,5.6,
0x344a,2017-04-11,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,10.1,
0x2775,2017-04-12,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,No,No,6.4,
0x344b,2017-04-12,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,10.5,
0x2776,2017-04-13,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,No,No,8.5,
0x344c,2017-04-13,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,10.2,
0x2777,2017-04-14,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,,No,8.3,
0x344d,2017-04-14,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,11.1,
0x2778,2017-04-15,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,Yes,No,6.2,
0x344e,2017-04-15,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,Yes,No,8.4,
0x2779,2017-04-16,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,Yes,No,7.3,48.90000000000001
0x344f,2017-04-16,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,Yes,No,9.1,67.3
0x277a,2017-04-17,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,No,No,6.4,
0x3450,2017-04-17,WH_0x3ea,38.749077,,Type_A,2017,April,,No,7.6,
0x277b,2017-04-18,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,No,No,6.4,
0x3451,2017-04-18,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,11.0,
0x277c,2017-04-19,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,No,No,6.2,
0x3452,2017-04-19,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,9.7,
0x277d,2017-04-20,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,No,No,9.2,
0x3453,2017-04-20,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,12.3,
0x277e,2017-04-21,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,No,No,9.2,
0x3454,2017-04-21,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,9.9,
0x277f,2017-04-22,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,Yes,No,6.0,
0x3455,2017-04-22,WH_0x3ea,,-105.18306000000001,Type_A,2017,April,Yes,No,7.9,
0x2780,2017-04-23,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,Yes,No,6.5,49.9
0x3456,2017-04-23,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,Yes,No,9.0,67.4
0x2781,2017-04-24,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,No,No,7.4,
0x3457,2017-04-24,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,8.5,
0x2782,2017-04-25,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,,No,6.1,
0x3458,2017-04-25,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,10.4,
0x2783,2017-04-26,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,No,No,8.6,
0x3459,2017-04-26,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,10.3,
0x2784,2017-04-27,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,No,No,7.7,
0x345a,2017-04-27,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,10.6,
0x2785,2017-04-28,WH_0x3e9,,-72.79474599999999,Type_A,2017,April,No,No,9.5,
0x345b,2017-04-28,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,No,No,10.6,
0x2786,2017-04-29,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,Yes,No,6.1,
0x345c,2017-04-29,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,Yes,No,8.0,
0x2787,2017-04-30,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,April,Yes,No,8.1,53.5
0x345d,2017-04-30,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,April,Yes,No,8.4,66.8
0x2788,2017-05-01,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,May,,No,7.6,
0x345e,2017-05-01,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,May,No,No,10.1,
0x2789,2017-05-02,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,May,No,No,7.4,
0x345f,2017-05-02,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,May,No,No,11.0,
0x278a,2017-05-03,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,May,,No,7.4,
0x3460,2017-05-03,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,May,No,No,10.4,
0x278b,2017-05-04,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,May,No,No,7.7,
0x3461,2017-05-04,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,May,No,No,11.9,
0x278c,2017-05-05,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,May,No,No,9.0,
0x3462,2017-05-05,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,May,No,No,10.9,
0x278d,2017-05-06,WH_0x3e9,41.681471,-72.79474599999999,Type_A,2017,May,Yes,No,6.0,
0x3463,2017-05-06,WH_0x3ea,38.749077,-105.18306000000001,Type_A,2017,May,Yes,,8.0,
